date,mean_temp,max_temp,min_temp,humidity,mean_wspeed,max_wspeed,wdegree,pressure,rainfall,radiation,radiation_balance,uva,uvb,no,no2,ozone,PM10,PM2_5
1/1/2016,5.3,6.1,4.1,92.3,0.9,1.9,68.8,988.3,0.63,20.3,-11.8,2.37,0.037,81,36,6,202,185
1/2/2016,5.5,6.9,4.7,87.8,1.0,1.7,33.9,977.6,3.93,14.0,-12.1,2.40,0.041,41,29,8,15,13
1/3/2016,6.1,8.2,3.7,79.8,1.6,2.8,118.9,970.7,0.84,32.9,-15.1,3.00,0.049,25,29,12,9,8
1/4/2016,5.4,8.0,2.7,79.8,2.4,3.7,237.8,957.7,7.75,38.8,-16.7,2.55,0.032,6,30,15,5,4
1/5/2016,5.8,8.1,3.4,78.2,2.2,3.9,216.7,960.2,1.97,38.8,-21.2,2.54,0.031,7,32,13,4,3
1/6/2016,5.6,6.8,4.5,76.6,1.9,3.1,222.4,964.2,0.00,24.5,-9.1,2.27,0.029,7,25,14,3,2
1/7/2016,5.4,7.6,3.3,79.2,2.1,4.2,236.4,963.2,2.84,25.0,-37.2,2.18,0.028,15,29,14,7,6
1/8/2016,6.1,8.7,3.0,72.8,1.4,2.7,249.2,969.6,0.04,46.0,-19.2,2.71,0.035,23,37,11,8,4
1/9/2016,6.8,9.3,5.3,83.7,0.9,1.7,227.9,967.2,0.00,15.7,-13.1,1.95,0.030,40,38,8,14,11
1/10/2016,7.0,8.9,5.1,78.7,2.7,4.3,223.9,962.3,0.35,18.2,-35.8,2.04,0.034,8,24,19,5,4
1/11/2016,6.0,7.6,3.3,80.3,2.9,5.7,239.8,957.2,5.59,20.4,-35.3,2.20,0.035,3,23,25,2,2
1/12/2016,5.6,7.4,4.1,75.7,3.3,4.8,210.4,963.9,0.74,24.6,-46.9,2.58,0.038,2,21,23,3,2
1/13/2016,4.3,6.0,2.9,76.5,3.9,6.4,222.0,977.4,0.68,34.9,-38.1,3.73,0.065,1,16,26,3,2
1/14/2016,3.1,6.1,0.8,68.0,2.5,3.5,232.6,975.1,0.23,62.0,-24.2,3.15,0.037,18,33,11,9,5
1/15/2016,1.4,3.1,0.6,83.7,3.1,5.2,307.5,974.0,2.11,11.7,-49.6,2.10,0.026,2,22,17,3,2
1/16/2016,1.7,2.9,0.9,76.7,2.7,4.5,270.2,983.8,0.37,33.5,-5.1,2.69,0.030,5,21,14,,
1/17/2016,-0.4,0.9,-1.4,78.6,2.3,3.7,331.3,986.3,1.76,36.9,-16.7,3.04,0.032,4,19,15,,
1/18/2016,-3.4,-1.1,-6.4,74.4,1.5,2.3,154.6,983.2,0.00,74.6,-32.7,3.81,0.037,18,33,8,22,15
1/19/2016,-3.5,-0.4,-6.8,73.3,1.3,2.4,347.6,978.9,0.00,36.2,-8.7,3.11,0.032,77,42,4,,
1/20/2016,-2.0,3.8,-6.9,75.2,1.2,2.5,40.6,982.4,0.00,78.7,-10.7,3.66,0.036,80,42,4,48,30
1/21/2016,0.4,3.2,-2.6,70.2,1.2,2.5,171.7,988.8,0.00,52.4,-16.6,3.32,0.040,65,46,5,35,25
1/22/2016,-1.4,2.3,-5.3,74.3,1.4,2.7,238.5,991.7,0.00,73.5,-20.3,3.77,0.047,43,41,5,35,29
1/23/2016,4.8,8.0,1.7,83.0,1.4,3.0,207.9,996.0,2.04,21.9,-7.7,2.77,0.047,50,41,6,16,12
1/24/2016,3.6,7.8,-0.4,80.9,0.9,2.2,334.9,997.1,0.00,34.8,1.3,3.57,0.060,66,43,6,23,18
1/25/2016,8.6,15.3,4.2,65.5,1.2,2.5,206.4,992.8,0.00,76.2,-6.5,3.74,0.061,106,50,6,26,14
1/26/2016,9.6,16.4,4.3,60.3,1.8,3.9,217.8,990.4,0.00,73.2,-12.0,3.57,0.054,94,50,6,32,13
1/27/2016,12.3,14.2,7.7,58.6,2.7,4.7,223.2,986.2,0.00,32.3,-2.2,2.25,0.036,7,31,16,16,6
1/28/2016,10.1,13.3,7.0,69.9,1.8,3.5,249.3,987.7,1.57,11.2,-32.8,1.65,0.027,19,36,14,13,6
1/29/2016,7.3,10.5,4.8,70.4,2.3,4.5,224.2,992.8,0.58,85.0,-11.3,3.52,0.050,12,33,16,7,4
1/30/2016,7.0,10.3,4.0,68.2,3.5,7.5,234.8,982.5,6.34,43.2,-19.8,2.80,0.045,9,26,22,5,3
1/31/2016,6.3,11.8,4.0,84.7,2.5,4.1,234.1,978.0,2.98,14.3,-20.5,2.81,0.055,20,29,15,2,2
2/1/2016,12.8,14.2,10.8,66.4,3.5,5.3,242.5,985.1,0.00,26.6,1.9,3.23,0.075,1,12,35,6,4
2/2/2016,11.2,12.7,7.9,61.8,2.9,4.0,271.0,984.1,0.61,35.5,2.2,3.23,0.071,1,17,31,9,8
2/3/2016,5.3,7.7,2.8,74.8,2.5,3.9,251.0,983.8,2.44,40.0,-26.9,2.70,0.038,3,24,22,14,12
2/4/2016,4.3,6.9,2.5,79.0,3.2,5.4,278.0,988.5,2.44,27.7,-20.6,2.49,0.038,5,24,18,10,7
2/5/2016,7.3,11.3,5.3,78.4,1.8,3.9,245.2,989.8,1.78,68.2,-0.6,3.66,0.060,22,34,13,11,7
2/6/2016,8.9,15.0,4.6,64.4,1.7,4.2,189.8,979.6,0.02,71.0,-12.3,3.82,0.064,44,38,11,14,9
2/7/2016,7.1,10.2,5.0,65.7,1.9,4.1,208.1,970.7,0.00,28.4,-12.5,2.65,0.043,33,31,16,12,9
2/8/2016,8.8,13.7,6.0,61.3,4.9,8.4,239.7,968.8,4.83,56.7,-17.8,3.58,0.062,0,10,38,9,7
2/9/2016,8.5,12.3,3.9,72.1,4.3,7.9,246.9,961.7,10.66,24.4,-39.9,2.60,0.046,1,14,34,4,2
2/10/2016,3.9,4.8,2.5,76.7,3.2,5.3,240.1,962.8,2.02,59.8,5.0,3.92,0.055,2,20,24,5,3
2/11/2016,4.6,6.7,3.2,64.3,2.8,4.5,227.9,970.3,0.04,48.7,3.2,3.28,0.049,8,25,18,8,5
2/12/2016,4.9,7.4,2.5,59.6,1.6,2.9,135.3,963.9,0.06,92.1,14.2,4.71,0.073,19,36,9,13,10
2/13/2016,6.0,8.5,4.3,77.1,2.1,7.3,215.0,954.6,1.87,36.7,-15.1,3.60,0.067,24,33,12,7,6
2/14/2016,6.6,8.2,4.8,82.6,1.8,4.3,232.6,954.5,2.74,27.6,-21.9,2.31,0.032,15,33,11,5,4
2/15/2016,4.3,5.4,2.9,84.4,2.0,3.1,330.0,974.6,0.77,18.8,-7.5,2.17,0.029,15,29,10,13,11
2/16/2016,2.7,3.5,1.4,76.7,2.3,3.2,24.2,993.6,0.05,16.1,-5.7,2.16,0.029,19,34,10,19,13
2/17/2016,2.3,3.3,1.0,75.9,1.7,2.7,232.0,983.2,0.06,16.3,-4.0,2.18,0.029,22,30,9,24,19
2/18/2016,5.3,8.9,2.2,65.3,1.5,3.0,204.4,979.3,0.02,92.9,18.4,4.37,0.064,29,33,8,22,18
2/19/2016,3.1,4.7,1.8,80.0,2.1,4.1,230.3,984.2,0.57,24.8,-20.5,2.63,0.039,18,34,10,15,13
