date,mean_temp,humidity,mean_wspeed,wdegree,pressure,rainfall,radiation,radiation_balance,uva,uvb,no,no2,ozone,PM10,PM2_5
2016-01-01 00:30:00,5.0,94.1,1.5,206.0,989.0,0.0,0.0,-32.7,1.48,0.03,100.3,36.1,6.3,144.47,128.01
2016-01-01 01:00:00,5.2,93.8,0.9,205.0,989.0,0.0,0.0,-27.7,1.47,0.03,111.9,33.4,4.3,521.12,462.13
2016-01-01 01:30:00,5.6,94.1,0.8,50.7,989.0,0.0,0.0,-25.8,1.47,0.03,143.1,34.3,4.3,819.23,729.39
2016-01-01 02:00:00,5.3,93.6,0.8,23.3,989.0,0.0,0.0,-21.6,1.48,0.03,155.7,35.7,4.3,797.36,710.19
2016-01-01 02:30:00,5.4,93.3,0.9,55.0,989.0,0.0,0.0,-22.7,1.48,0.03,154.1,47.5,5.0,722.97,642.74
2016-01-01 03:00:00,5.5,93.1,0.7,45.8,989.8,0.01,0.0,-20.0,1.48,0.03,183.4,44.1,4.9,558.03,497.6
2016-01-01 03:30:00,5.7,93.3,0.5,61.3,990.0,0.04,0.0,-20.3,1.48,0.03,193.0,40.8,4.9,482.66,433.36
2016-01-01 04:00:00,5.6,93.1,1.1,49.7,990.0,0.04,0.0,-17.4,1.51,0.03,196.9,41.8,3.7,520.34,470.36
2016-01-01 04:30:00,5.4,93.3,0.5,54.6,990.0,0.25,0.0,-14.0,1.52,0.03,186.0,38.4,3.0,521.43,475.99
2016-01-01 05:00:00,5.5,93.3,0.4,99.3,990.0,0.22,0.0,-13.1,1.52,0.03,189.3,38.1,3.2,499.79,460.15
2016-01-01 05:30:00,5.7,93.4,0.2,86.8,990.0,0.06,0.0,-16.3,1.54,0.03,167.0,50.0,4.3,462.61,428.81
2016-01-01 06:00:00,5.4,93.9,0.7,87.0,990.0,0.01,0.0,-32.6,1.57,0.03,188.5,43.4,4.8,398.16,371.26
2016-01-01 06:30:00,5.4,93.7,0.4,31.0,990.41,0.0,0.0,-37.2,1.57,0.03,185.4,40.1,3.5,361.71,338.88
2016-01-01 07:00:00,5.6,94.2,0.2,61.6,990.22,0.0,0.0,-13.7,1.58,0.03,168.0,37.7,3.1,351.21,330.23
2016-01-01 07:30:00,5.7,94.0,0.5,46.4,990.45,0.0,0.0,-33.1,1.59,0.03,167.8,37.0,3.0,311.49,293.19
2016-01-01 08:00:00,5.6,93.9,0.2,105.6,991.0,0.0,0.0,-23.0,1.61,0.03,157.2,38.3,3.3,292.01,275.16
2016-01-01 08:30:00,5.3,93.7,1.0,210.5,991.0,0.0,0.5,-16.3,1.71,0.03,109.7,48.8,3.8,250.52,236.88
2016-01-01 09:00:00,5.3,94.1,1.1,200.7,991.0,0.0,10.2,-22.1,2.21,0.03,102.3,39.7,4.5,138.32,130.99
2016-01-01 09:30:00,5.1,93.1,1.0,199.7,991.0,0.0,37.3,-41.4,3.34,0.04,85.5,36.6,7.0,64.34,61.07
2016-01-01 10:00:00,5.5,93.4,0.5,164.8,991.0,0.0,105.5,-16.0,4.5,0.05,71.7,39.6,6.5,50.16,47.98
2016-01-01 10:30:00,5.8,92.1,1.0,15.0,991.0,0.0,105.5,17.4,4.75,0.05,71.7,42.1,6.4,65.56,62.83
2016-01-01 11:00:00,6.0,92.7,1.1,57.1,991.0,0.0,115.6,43.7,5.04,0.06,75.8,32.4,4.0,112.12,107.38
2016-01-01 11:30:00,6.1,92.2,1.3,16.5,990.14,0.0,75.4,30.6,5.02,0.07,70.1,31.2,3.9,125.29,119.52
2016-01-01 12:00:00,5.7,92.7,1.5,21.0,990.0,0.0,72.2,36.3,4.94,0.07,60.8,31.5,4.7,102.44,97.72
2016-01-01 12:30:00,5.6,93.3,1.8,22.1,990.0,0.0,62.6,36.8,4.55,0.06,54.3,31.8,5.1,89.48,85.93
2016-01-01 13:00:00,5.6,93.3,1.9,18.6,990.0,0.0,82.1,54.6,4.54,0.06,46.6,33.0,5.4,79.36,76.37
2016-01-01 13:30:00,5.5,93.3,1.7,29.8,989.0,0.0,81.8,54.5,4.64,0.06,41.6,33.0,5.6,70.32,67.37
2016-01-01 14:00:00,5.4,93.1,1.7,47.4,989.0,0.0,61.3,40.0,3.78,0.05,39.7,32.5,5.8,61.54,58.94
2016-01-01 14:30:00,5.3,93.0,1.3,61.6,988.63,0.0,48.9,29.9,3.44,0.05,30.4,39.9,9.5,56.9,54.54
2016-01-01 15:00:00,5.7,93.1,0.9,30.1,988.0,0.0,38.7,18.6,3.26,0.04,29.2,37.4,9.0,59.01,56.55
2016-01-01 15:30:00,5.8,93.0,0.6,79.1,988.0,0.0,43.6,9.2,3.23,0.04,31.5,34.0,6.6,61.61,58.83
2016-01-01 16:00:00,5.8,92.0,1.1,83.0,988.0,0.0,24.9,-7.0,2.66,0.04,29.8,33.7,6.5,54.65,51.59
2016-01-01 16:30:00,5.6,92.6,1.2,68.5,988.0,0.0,7.4,-18.3,2.09,0.03,27.2,33.8,7.3,46.18,43.35
2016-01-01 17:00:00,5.3,92.3,1.3,84.5,987.87,0.0,0.1,-22.5,1.75,0.03,22.1,36.7,9.0,42.92,40.2
2016-01-01 17:30:00,5.3,92.4,1.3,38.6,987.0,0.0,0.0,-22.7,1.69,0.03,18.9,45.0,10.3,40.93,38.31
2016-01-01 18:00:00,5.3,92.5,1.2,56.6,987.0,0.0,0.0,-12.0,1.69,0.03,23.5,36.4,5.8,40.68,37.58
2016-01-01 18:30:00,4.6,92.5,1.1,118.5,986.71,0.0,0.0,-13.8,1.69,0.03,23.7,34.2,6.7,41.73,38.33
2016-01-01 19:00:00,4.2,92.5,0.7,72.0,986.0,0.0,0.0,-57.3,1.7,0.03,21.2,32.3,5.9,40.01,37.38
2016-01-01 19:30:00,4.1,92.8,0.6,80.2,986.0,0.0,0.0,-75.1,1.73,0.03,20.8,32.1,5.9,35.1,30.93
2016-01-01 20:00:00,4.5,92.9,0.9,20.4,985.27,0.0,0.0,-64.5,1.73,0.03,12.4,40.2,9.4,34.08,29.33
2016-01-01 20:30:00,4.5,92.7,0.4,28.2,985.0,0.0,0.0,-26.0,1.74,0.03,16.2,37.6,8.3,37.38,34.22
2016-01-01 21:00:00,4.5,92.8,0.4,174.8,984.84,0.0,0.0,-35.7,1.73,0.03,19.9,31.6,5.7,34.27,31.21
2016-01-01 21:30:00,5.0,91.9,0.8,91.3,984.0,0.0,0.0,-26.7,1.69,0.03,17.7,28.0,6.2,24.21,21.75
2016-01-01 22:00:00,5.0,88.5,0.8,101.7,984.0,0.0,0.0,-19.3,1.69,0.03,16.2,27.3,7.1,20.55,19.11
2016-01-01 22:30:00,5.2,85.5,0.8,90.3,984.0,0.0,0.0,-15.7,1.69,0.03,7.9,35.8,12.3,20.95,19.54
2016-01-01 23:00:00,5.1,84.0,0.6,98.0,983.65,0.0,0.0,-13.4,1.69,0.03,12.0,28.8,8.3,18.37,16.19
2016-01-01 23:30:00,5.0,83.0,1.7,60.6,983.0,0.0,0.0,-19.9,1.69,0.03,13.3,26.2,7.8,16.66,14.51
2016-01-02 00:00:00,4.9,83.3,1.4,64.9,983.0,0.0,0.0,-22.8,1.69,0.03,13.1,25.2,8.7,17.81,15.69
2016-01-02 00:30:00,4.8,83.2,1.3,72.5,983.0,0.0,0.0,-17.6,1.69,0.03,11.0,23.9,8.9,18.72,16.51
2016-01-02 01:00:00,5.0,83.3,0.9,70.7,982.86,0.0,0.0,-14.5,1.69,0.03,5.5,28.7,14.1,19.44,17.41
2016-01-02 01:30:00,4.9,83.2,1.2,95.7,982.0,0.0,0.0,-15.2,1.69,0.03,6.1,24.1,12.1,20.12,18.18
2016-01-02 02:00:00,4.8,83.0,1.3,99.3,981.82,0.0,0.0,-18.5,1.69,0.03,7.2,21.8,8.9,17.9,16.37
2016-01-02 02:30:00,4.7,83.4,1.3,105.5,981.0,0.0,0.0,-22.0,1.69,0.03,5.5,25.2,12.3,15.04,13.68
2016-01-02 03:00:00,5.0,83.5,1.1,65.2,981.0,0.0,0.0,-22.2,1.69,0.03,7.8,25.3,11.8,16.17,14.94
2016-01-02 03:30:00,5.0,82.7,0.6,108.5,980.39,0.0,0.0,-18.9,1.69,0.03,8.8,23.4,9.4,18.12,16.62
2016-01-02 04:00:00,4.9,83.1,0.8,120.2,980.0,0.0,0.0,-28.8,1.69,0.03,6.3,20.6,10.2,19.26,17.92
2016-01-02 04:30:00,5.3,82.0,0.6,44.1,980.0,0.0,0.0,-32.2,1.69,0.03,7.6,21.0,10.4,17.35,16.15
2016-01-02 05:00:00,4.9,80.7,1.1,86.0,979.59,0.0,0.0,-28.7,1.69,0.03,3.7,24.5,16.0,14.88,13.51
2016-01-02 05:30:00,4.8,81.8,1.4,106.7,979.0,0.0,0.0,-11.3,1.69,0.03,5.0,21.1,11.4,14.28,13.03
2016-01-02 06:00:00,4.8,81.8,1.1,113.5,979.0,0.0,0.0,-20.6,1.69,0.03,5.6,19.0,10.8,12.85,11.22
2016-01-02 06:30:00,4.8,82.9,1.0,130.1,979.0,0.0,0.0,-27.3,1.69,0.03,5.2,18.2,11.4,12.61,11.39
2016-01-02 07:00:00,4.8,83.0,0.8,98.0,978.92,0.0,0.0,-18.1,1.69,0.03,3.7,22.2,17.1,13.01,12.41
2016-01-02 07:30:00,4.8,83.2,1.3,78.9,978.0,0.02,0.0,-16.3,1.69,0.03,7.3,21.4,10.9,13.4,12.81
2016-01-02 08:00:00,4.7,84.9,1.5,68.7,978.0,0.22,0.0,-23.3,1.79,0.03,9.9,21.4,10.0,16.61,15.79
2016-01-02 08:30:00,4.7,87.2,1.2,65.0,978.0,0.23,0.0,-20.4,2.12,0.04,8.8,26.4,12.6,17.62,16.03
2016-01-02 09:00:00,4.7,88.5,1.0,76.2,978.0,0.29,3.7,-15.3,2.72,0.06,12.4,23.9,9.6,14.49,12.63
2016-01-02 09:30:00,4.7,89.3,1.2,72.4,978.0,0.18,11.1,-9.3,3.28,0.07,17.4,24.3,9.1,13.24,11.72
2016-01-02 10:00:00,4.8,89.7,1.3,61.5,977.73,0.01,28.1,0.2,3.32,0.06,16.2,23.3,8.9,13.77,12.46
2016-01-02 10:30:00,4.8,89.2,1.4,71.0,977.0,0.0,37.0,1.6,3.93,0.07,19.8,23.5,8.6,15.13,13.93
2016-01-02 11:00:00,5.2,90.0,1.1,77.6,977.0,0.07,44.1,8.9,4.31,0.07,21.9,25.0,8.3,17.01,15.97
2016-01-02 11:30:00,5.5,89.3,0.7,80.6,977.0,0.03,55.6,15.6,4.29,0.07,20.6,32.8,9.3,16.39,15.05
2016-01-02 12:00:00,5.8,89.4,0.4,119.4,977.0,0.06,54.8,14.5,4.3,0.07,26.1,26.9,6.4,13.21,11.03
2016-01-02 12:30:00,5.7,89.1,1.4,83.2,976.49,0.13,65.2,19.7,4.75,0.08,27.2,25.8,7.3,12.36,10.22
2016-01-02 13:00:00,5.7,89.5,1.7,87.5,976.0,0.09,100.0,38.7,5.76,0.09,27.3,25.3,7.2,11.55,9.86
2016-01-02 13:30:00,6.1,89.5,1.0,96.0,976.0,0.04,68.4,15.5,4.74,0.08,30.9,26.0,7.2,11.57,9.95
2016-01-02 14:00:00,6.3,89.5,0.7,117.9,976.0,0.13,52.1,9.5,4.19,0.07,39.5,28.2,6.4,13.73,12.31
2016-01-02 14:30:00,6.2,89.5,1.3,94.4,975.66,0.04,48.5,8.4,3.38,0.05,45.1,31.5,6.7,12.48,10.71
2016-01-02 15:00:00,6.3,88.6,1.1,104.2,975.0,0.01,61.3,13.4,3.5,0.05,43.0,41.3,7.7,10.44,8.28
2016-01-02 15:30:00,6.9,89.5,0.7,61.0,975.49,0.02,32.3,-4.7,2.77,0.04,65.3,37.1,5.8,12.48,10.27
2016-01-02 16:00:00,6.7,89.3,1.3,98.0,975.9,0.07,10.1,-16.2,2.31,0.04,75.7,38.2,5.0,13.18,10.79
2016-01-02 16:30:00,6.5,89.0,1.5,161.1,976.0,0.01,1.9,-27.8,1.9,0.04,70.1,37.5,5.8,12.78,10.67
2016-01-02 17:00:00,6.7,89.5,0.6,234.6,976.0,0.09,0.0,-19.6,1.76,0.03,63.8,37.1,7.2,10.9,9.05
2016-01-02 17:30:00,6.5,89.5,0.8,257.6,976.0,0.25,0.0,-18.9,1.73,0.03,47.9,45.7,6.5,11.16,9.38
2016-01-02 18:00:00,6.6,90.3,0.4,194.2,976.0,0.32,0.0,-19.2,1.73,0.03,65.1,35.2,4.4,13.6,12.2
2016-01-02 18:30:00,6.5,90.2,0.8,37.4,976.0,0.3,0.0,-16.9,1.73,0.03,91.4,35.1,5.5,14.58,13.49
